Date,ETF,ETF
2017-10-23,SPY,SPY
2017-10-23,MTUM,MTUM
2017-10-23,VLUE,VLUE
2017-10-23,USMV,USMV
2017-10-23,EFA,EFA
2017-10-24,SPY,SPY
2017-10-24,MTUM,MTUM
2017-10-24,VLUE,VLUE
2017-10-24,USMV,USMV
2017-10-24,EFA,EFA
2017-10-25,SPY,SPY
2017-10-25,MTUM,MTUM
2017-10-25,VLUE,VLUE
2017-10-25,USMV,USMV
2017-10-25,EFA,EFA
2017-10-26,SPY,SPY
2017-10-26,MTUM,MTUM
2017-10-26,VLUE,VLUE
2017-10-26,USMV,USMV
2017-10-26,EFA,EFA
2017-10-27,SPY,SPY
2017-10-27,MTUM,MTUM
2017-10-27,VLUE,VLUE
2017-10-27,USMV,USMV
2017-10-27,EFA,EFA
2017-10-30,SPY,SPY
2017-10-30,MTUM,MTUM
2017-10-30,VLUE,VLUE
2017-10-30,USMV,USMV
2017-10-30,EFA,EFA
2017-10-31,SPY,SPY
2017-10-31,MTUM,MTUM
2017-10-31,VLUE,VLUE
2017-10-31,USMV,USMV
2017-10-31,EFA,EFA
2017-11-01,SPY,SPY
2017-11-01,MTUM,MTUM
2017-11-01,VLUE,VLUE
2017-11-01,USMV,USMV
2017-11-01,EFA,EFA
2017-11-02,SPY,SPY
2017-11-02,MTUM,MTUM
2017-11-02,VLUE,VLUE
2017-11-02,USMV,USMV
2017-11-02,EFA,EFA
2017-11-03,SPY,SPY
2017-11-03,MTUM,MTUM
2017-11-03,VLUE,VLUE
2017-11-03,USMV,USMV
2017-11-03,EFA,EFA
2017-11-06,SPY,SPY
2017-11-06,MTUM,MTUM
2017-11-06,VLUE,VLUE
2017-11-06,USMV,USMV
2017-11-06,EFA,EFA
2017-11-07,SPY,SPY
2017-11-07,MTUM,MTUM
2017-11-07,VLUE,VLUE
2017-11-07,USMV,USMV
2017-11-07,EFA,EFA
2017-11-08,SPY,SPY
2017-11-08,MTUM,MTUM
2017-11-08,VLUE,VLUE
2017-11-08,USMV,USMV
2017-11-08,EFA,EFA
2017-11-09,SPY,SPY
2017-11-09,MTUM,MTUM
2017-11-09,VLUE,VLUE
2017-11-09,USMV,USMV
2017-11-09,EFA,EFA
2017-11-10,SPY,SPY
2017-11-10,MTUM,MTUM
2017-11-10,VLUE,VLUE
2017-11-10,USMV,USMV
2017-11-10,EFA,EFA
2017-11-13,SPY,SPY
2017-11-13,MTUM,MTUM
2017-11-13,VLUE,VLUE
2017-11-13,USMV,USMV
2017-11-13,EFA,EFA
2017-11-14,SPY,SPY
2017-11-14,MTUM,MTUM
2017-11-14,VLUE,VLUE
2017-11-14,USMV,USMV
2017-11-14,EFA,EFA
2017-11-15,SPY,SPY
2017-11-15,MTUM,MTUM
2017-11-15,VLUE,VLUE
2017-11-15,USMV,USMV
2017-11-15,EFA,EFA
2017-11-16,SPY,SPY
2017-11-16,MTUM,MTUM
2017-11-16,VLUE,VLUE
2017-11-16,USMV,USMV
2017-11-16,EFA,EFA
2017-11-17,SPY,SPY
2017-11-17,MTUM,MTUM
2017-11-17,VLUE,VLUE
2017-11-17,USMV,USMV
2017-11-17,EFA,EFA
2017-11-20,SPY,SPY
2017-11-20,MTUM,MTUM
2017-11-20,VLUE,VLUE
2017-11-20,USMV,USMV
2017-11-20,EFA,EFA
2017-11-21,SPY,SPY
2017-11-21,MTUM,MTUM
2017-11-21,VLUE,VLUE
2017-11-21,USMV,USMV
2017-11-21,EFA,EFA
2017-11-22,SPY,SPY
2017-11-22,MTUM,MTUM
2017-11-22,VLUE,VLUE
2017-11-22,USMV,USMV
2017-11-22,EFA,EFA
2017-11-24,SPY,SPY
2017-11-24,MTUM,MTUM
2017-11-24,VLUE,VLUE
2017-11-24,USMV,USMV
2017-11-24,EFA,EFA
2017-11-27,SPY,SPY
2017-11-27,MTUM,MTUM
2017-11-27,VLUE,VLUE
2017-11-27,USMV,USMV
2017-11-27,EFA,EFA
2017-11-28,SPY,SPY
2017-11-28,MTUM,MTUM
2017-11-28,VLUE,VLUE
2017-11-28,USMV,USMV
2017-11-28,EFA,EFA
2017-11-29,SPY,SPY
2017-11-29,MTUM,MTUM
2017-11-29,VLUE,VLUE
2017-11-29,USMV,USMV
2017-11-29,EFA,EFA
2017-11-30,SPY,SPY
2017-11-30,MTUM,MTUM
2017-11-30,VLUE,VLUE
2017-11-30,USMV,USMV
2017-11-30,EFA,EFA
2017-12-01,SPY,SPY
2017-12-01,MTUM,MTUM
2017-12-01,VLUE,VLUE
2017-12-01,USMV,USMV
2017-12-01,EFA,EFA
2017-12-04,SPY,SPY
2017-12-04,MTUM,MTUM
2017-12-04,VLUE,VLUE
2017-12-04,USMV,USMV
2017-12-04,EFA,EFA
2017-12-05,SPY,SPY
2017-12-05,MTUM,MTUM
2017-12-05,VLUE,VLUE
2017-12-05,USMV,USMV
2017-12-05,EFA,EFA
2017-12-06,SPY,SPY
2017-12-06,MTUM,MTUM
2017-12-06,VLUE,VLUE
2017-12-06,USMV,USMV
2017-12-06,EFA,EFA
2017-12-07,SPY,SPY
2017-12-07,MTUM,MTUM
2017-12-07,VLUE,VLUE
2017-12-07,USMV,USMV
2017-12-07,EFA,EFA
2017-12-08,SPY,SPY
2017-12-08,MTUM,MTUM
2017-12-08,VLUE,VLUE
2017-12-08,USMV,USMV
2017-12-08,EFA,EFA
2017-12-11,SPY,SPY
2017-12-11,MTUM,MTUM
2017-12-11,VLUE,VLUE
2017-12-11,USMV,USMV
2017-12-11,EFA,EFA
2017-12-12,SPY,SPY
2017-12-12,MTUM,MTUM
2017-12-12,VLUE,VLUE
2017-12-12,USMV,USMV
2017-12-12,EFA,EFA
2017-12-13,SPY,SPY
2017-12-13,MTUM,MTUM
2017-12-13,VLUE,VLUE
2017-12-13,USMV,USMV
2017-12-13,EFA,EFA
2017-12-14,SPY,SPY
2017-12-14,MTUM,MTUM
2017-12-14,VLUE,VLUE
2017-12-14,USMV,USMV
2017-12-14,EFA,EFA
2017-12-15,SPY,SPY
2017-12-15,MTUM,MTUM
2017-12-15,VLUE,VLUE
2017-12-15,USMV,USMV
2017-12-15,EFA,EFA
2017-12-18,SPY,SPY
2017-12-18,MTUM,MTUM
2017-12-18,VLUE,VLUE
2017-12-18,USMV,USMV
2017-12-18,EFA,EFA
2017-12-19,SPY,SPY
2017-12-19,MTUM,MTUM
2017-12-19,VLUE,VLUE
2017-12-19,USMV,USMV
2017-12-19,EFA,EFA
2017-12-20,SPY,SPY
2017-12-20,MTUM,MTUM
2017-12-20,VLUE,VLUE
2017-12-20,USMV,USMV
2017-12-20,EFA,EFA
2017-12-21,SPY,SPY
2017-12-21,MTUM,MTUM
2017-12-21,VLUE,VLUE
2017-12-21,USMV,USMV
2017-12-21,EFA,EFA
2017-12-22,SPY,SPY
2017-12-22,MTUM,MTUM
2017-12-22,VLUE,VLUE
2017-12-22,USMV,USMV
2017-12-22,EFA,EFA
2017-12-26,SPY,SPY
2017-12-26,MTUM,MTUM
2017-12-26,VLUE,VLUE
2017-12-26,USMV,USMV
2017-12-26,EFA,EFA
2017-12-27,SPY,SPY
2017-12-27,MTUM,MTUM
2017-12-27,VLUE,VLUE
2017-12-27,USMV,USMV
2017-12-27,EFA,EFA
2017-12-28,SPY,SPY
2017-12-28,MTUM,MTUM
2017-12-28,VLUE,VLUE
2017-12-28,USMV,USMV
2017-12-28,EFA,EFA
2017-12-29,SPY,SPY
2017-12-29,MTUM,MTUM
2017-12-29,VLUE,VLUE
2017-12-29,USMV,USMV
2017-12-29,EFA,EFA
2018-01-02,SPY,SPY
2018-01-02,MTUM,MTUM
2018-01-02,VLUE,VLUE
2018-01-02,USMV,USMV
2018-01-02,EFA,EFA
2018-01-03,SPY,SPY
2018-01-03,MTUM,MTUM
2018-01-03,VLUE,VLUE
2018-01-03,USMV,USMV
2018-01-03,EFA,EFA
2018-01-04,SPY,SPY
2018-01-04,MTUM,MTUM
2018-01-04,VLUE,VLUE
2018-01-04,USMV,USMV
2018-01-04,EFA,EFA
2018-01-05,SPY,SPY
2018-01-05,MTUM,MTUM
2018-01-05,VLUE,VLUE
2018-01-05,USMV,USMV
2018-01-05,EFA,EFA
2018-01-08,SPY,SPY
2018-01-08,MTUM,MTUM
2018-01-08,VLUE,VLUE
2018-01-08,USMV,USMV
2018-01-08,EFA,EFA
2018-01-09,SPY,SPY
2018-01-09,MTUM,MTUM
2018-01-09,VLUE,VLUE
2018-01-09,USMV,USMV
2018-01-09,EFA,EFA
2018-01-10,SPY,SPY
2018-01-10,MTUM,MTUM
2018-01-10,VLUE,VLUE
2018-01-10,USMV,USMV
2018-01-10,EFA,EFA
2018-01-11,SPY,SPY
2018-01-11,MTUM,MTUM
2018-01-11,VLUE,VLUE
2018-01-11,USMV,USMV
2018-01-11,EFA,EFA
2018-01-12,SPY,SPY
2018-01-12,MTUM,MTUM
2018-01-12,VLUE,VLUE
2018-01-12,USMV,USMV
2018-01-12,EFA,EFA
2018-01-16,SPY,SPY
2018-01-16,MTUM,MTUM
2018-01-16,VLUE,VLUE
2018-01-16,USMV,USMV
2018-01-16,EFA,EFA
2018-01-17,SPY,SPY
2018-01-17,MTUM,MTUM
2018-01-17,VLUE,VLUE
2018-01-17,USMV,USMV
2018-01-17,EFA,EFA
2018-01-18,SPY,SPY
2018-01-18,MTUM,MTUM
2018-01-18,VLUE,VLUE
2018-01-18,USMV,USMV
2018-01-18,EFA,EFA
2018-01-19,SPY,SPY
2018-01-19,MTUM,MTUM
2018-01-19,VLUE,VLUE
2018-01-19,USMV,USMV
2018-01-19,EFA,EFA
2018-01-22,SPY,SPY
2018-01-22,MTUM,MTUM
2018-01-22,VLUE,VLUE
2018-01-22,USMV,USMV
2018-01-22,EFA,EFA
2018-01-23,SPY,SPY
2018-01-23,MTUM,MTUM
2018-01-23,VLUE,VLUE
2018-01-23,USMV,USMV
2018-01-23,EFA,EFA
2018-01-24,SPY,SPY
2018-01-24,MTUM,MTUM
2018-01-24,VLUE,VLUE
2018-01-24,USMV,USMV
2018-01-24,EFA,EFA
2018-01-25,SPY,SPY
2018-01-25,MTUM,MTUM
2018-01-25,VLUE,VLUE
2018-01-25,USMV,USMV
2018-01-25,EFA,EFA
2018-01-26,SPY,SPY
2018-01-26,MTUM,MTUM
2018-01-26,VLUE,VLUE
2018-01-26,USMV,USMV
2018-01-26,EFA,EFA
2018-01-29,SPY,SPY
2018-01-29,MTUM,MTUM
2018-01-29,VLUE,VLUE
2018-01-29,USMV,USMV
2018-01-29,EFA,EFA
2018-01-30,SPY,SPY
2018-01-30,MTUM,MTUM
2018-01-30,VLUE,VLUE
2018-01-30,USMV,USMV
2018-01-30,EFA,EFA
2018-01-31,SPY,SPY
2018-01-31,MTUM,MTUM
2018-01-31,VLUE,VLUE
2018-01-31,USMV,USMV
2018-01-31,EFA,EFA
2018-02-01,SPY,SPY
2018-02-01,MTUM,MTUM
2018-02-01,VLUE,VLUE
2018-02-01,USMV,USMV
2018-02-01,EFA,EFA
2018-02-02,SPY,SPY
2018-02-02,MTUM,MTUM
2018-02-02,VLUE,VLUE
2018-02-02,USMV,USMV
2018-02-02,EFA,EFA
2018-02-05,SPY,SPY
2018-02-05,MTUM,MTUM
2018-02-05,VLUE,VLUE
2018-02-05,USMV,USMV
2018-02-05,EFA,EFA
2018-02-06,SPY,SPY
2018-02-06,MTUM,MTUM
2018-02-06,VLUE,VLUE
2018-02-06,USMV,USMV
2018-02-06,EFA,EFA
2018-02-07,SPY,SPY
2018-02-07,MTUM,MTUM
2018-02-07,VLUE,VLUE
2018-02-07,USMV,USMV
2018-02-07,EFA,EFA
2018-02-08,SPY,SPY
2018-02-08,MTUM,MTUM
2018-02-08,VLUE,VLUE
2018-02-08,USMV,USMV
2018-02-08,EFA,EFA
2018-02-09,SPY,SPY
2018-02-09,MTUM,MTUM
2018-02-09,VLUE,VLUE
2018-02-09,USMV,USMV
2018-02-09,EFA,EFA
2018-02-12,SPY,SPY
2018-02-12,MTUM,MTUM
2018-02-12,VLUE,VLUE
2018-02-12,USMV,USMV
2018-02-12,EFA,EFA
2018-02-13,SPY,SPY
2018-02-13,MTUM,MTUM
2018-02-13,VLUE,VLUE
2018-02-13,USMV,USMV
2018-02-13,EFA,EFA
2018-02-14,SPY,SPY
2018-02-14,MTUM,MTUM
2018-02-14,VLUE,VLUE
2018-02-14,USMV,USMV
2018-02-14,EFA,EFA
2018-02-15,SPY,SPY
2018-02-15,MTUM,MTUM
2018-02-15,VLUE,VLUE
2018-02-15,USMV,USMV
2018-02-15,EFA,EFA
2018-02-16,SPY,SPY
2018-02-16,MTUM,MTUM
2018-02-16,VLUE,VLUE
2018-02-16,USMV,USMV
2018-02-16,EFA,EFA
2018-02-20,SPY,SPY
2018-02-20,MTUM,MTUM
2018-02-20,VLUE,VLUE
2018-02-20,USMV,USMV
2018-02-20,EFA,EFA
2018-02-21,SPY,SPY
2018-02-21,MTUM,MTUM
2018-02-21,VLUE,VLUE
2018-02-21,USMV,USMV
2018-02-21,EFA,EFA
2018-02-22,SPY,SPY
2018-02-22,MTUM,MTUM
2018-02-22,VLUE,VLUE
2018-02-22,USMV,USMV
2018-02-22,EFA,EFA
2018-02-23,SPY,SPY
2018-02-23,MTUM,MTUM
2018-02-23,VLUE,VLUE
2018-02-23,USMV,USMV
2018-02-23,EFA,EFA
2018-02-26,SPY,SPY
2018-02-26,MTUM,MTUM
2018-02-26,VLUE,VLUE
2018-02-26,USMV,USMV
2018-02-26,EFA,EFA
2018-02-27,SPY,SPY
2018-02-27,MTUM,MTUM
2018-02-27,VLUE,VLUE
2018-02-27,USMV,USMV
2018-02-27,EFA,EFA
2018-02-28,SPY,SPY
2018-02-28,MTUM,MTUM
2018-02-28,VLUE,VLUE
2018-02-28,USMV,USMV
2018-02-28,EFA,EFA
2018-03-01,SPY,SPY
2018-03-01,MTUM,MTUM
2018-03-01,VLUE,VLUE
2018-03-01,USMV,USMV
2018-03-01,EFA,EFA
2018-03-02,SPY,SPY
2018-03-02,MTUM,MTUM
2018-03-02,VLUE,VLUE
2018-03-02,USMV,USMV
2018-03-02,EFA,EFA
2018-03-05,SPY,SPY
2018-03-05,MTUM,MTUM
2018-03-05,VLUE,VLUE
2018-03-05,USMV,USMV
2018-03-05,EFA,EFA
2018-03-06,SPY,SPY
2018-03-06,MTUM,MTUM
2018-03-06,VLUE,VLUE
2018-03-06,USMV,USMV
2018-03-06,EFA,EFA
2018-03-07,SPY,SPY
2018-03-07,MTUM,MTUM
2018-03-07,VLUE,VLUE
2018-03-07,USMV,USMV
2018-03-07,EFA,EFA
2018-03-08,SPY,SPY
2018-03-08,MTUM,MTUM
2018-03-08,VLUE,VLUE
2018-03-08,USMV,USMV
2018-03-08,EFA,EFA
2018-03-09,SPY,SPY
2018-03-09,MTUM,MTUM
2018-03-09,VLUE,VLUE
2018-03-09,USMV,USMV
2018-03-09,EFA,EFA
2018-03-12,SPY,SPY
2018-03-12,MTUM,MTUM
2018-03-12,VLUE,VLUE
2018-03-12,USMV,USMV
2018-03-12,EFA,EFA
2018-03-13,SPY,SPY
2018-03-13,MTUM,MTUM
2018-03-13,VLUE,VLUE
2018-03-13,USMV,USMV
2018-03-13,EFA,EFA
2018-03-14,SPY,SPY
2018-03-14,MTUM,MTUM
2018-03-14,VLUE,VLUE
2018-03-14,USMV,USMV
2018-03-14,EFA,EFA
2018-03-15,SPY,SPY
2018-03-15,MTUM,MTUM
2018-03-15,VLUE,VLUE
2018-03-15,USMV,USMV
2018-03-15,EFA,EFA
2018-03-16,SPY,SPY
2018-03-16,MTUM,MTUM
2018-03-16,VLUE,VLUE
2018-03-16,USMV,USMV
2018-03-16,EFA,EFA
2018-03-19,SPY,SPY
2018-03-19,MTUM,MTUM
2018-03-19,VLUE,VLUE
2018-03-19,USMV,USMV
2018-03-19,EFA,EFA
2018-03-20,SPY,SPY
2018-03-20,MTUM,MTUM
2018-03-20,VLUE,VLUE
2018-03-20,USMV,USMV
2018-03-20,EFA,EFA
2018-03-21,SPY,SPY
2018-03-21,MTUM,MTUM
2018-03-21,VLUE,VLUE
2018-03-21,USMV,USMV
2018-03-21,EFA,EFA
2018-03-22,SPY,SPY
2018-03-22,MTUM,MTUM
2018-03-22,VLUE,VLUE
2018-03-22,USMV,USMV
2018-03-22,EFA,EFA
2018-03-23,SPY,SPY
2018-03-23,MTUM,MTUM
2018-03-23,VLUE,VLUE
2018-03-23,USMV,USMV
2018-03-23,EFA,EFA
2018-03-26,SPY,SPY
2018-03-26,MTUM,MTUM
2018-03-26,VLUE,VLUE
2018-03-26,USMV,USMV
2018-03-26,EFA,EFA
2018-03-27,SPY,SPY
2018-03-27,MTUM,MTUM
2018-03-27,VLUE,VLUE
2018-03-27,USMV,USMV
2018-03-27,EFA,EFA
2018-03-28,SPY,SPY
2018-03-28,MTUM,MTUM
2018-03-28,VLUE,VLUE
2018-03-28,USMV,USMV
2018-03-28,EFA,EFA
2018-03-29,SPY,SPY
2018-03-29,MTUM,MTUM
2018-03-29,VLUE,VLUE
2018-03-29,USMV,USMV
2018-03-29,EFA,EFA
2018-04-02,SPY,SPY
2018-04-02,MTUM,MTUM
2018-04-02,VLUE,VLUE
2018-04-02,USMV,USMV
2018-04-02,EFA,EFA
2018-04-03,SPY,SPY
2018-04-03,MTUM,MTUM
2018-04-03,VLUE,VLUE
2018-04-03,USMV,USMV
2018-04-03,EFA,EFA
2018-04-04,SPY,SPY
2018-04-04,MTUM,MTUM
2018-04-04,VLUE,VLUE
2018-04-04,USMV,USMV
2018-04-04,EFA,EFA
2018-04-05,SPY,SPY
2018-04-05,MTUM,MTUM
2018-04-05,VLUE,VLUE
2018-04-05,USMV,USMV
2018-04-05,EFA,EFA
2018-04-06,SPY,SPY
2018-04-06,MTUM,MTUM
2018-04-06,VLUE,VLUE
2018-04-06,USMV,USMV
2018-04-06,EFA,EFA
2018-04-09,SPY,SPY
2018-04-09,MTUM,MTUM
2018-04-09,VLUE,VLUE
2018-04-09,USMV,USMV
2018-04-09,EFA,EFA
2018-04-10,SPY,SPY
2018-04-10,MTUM,MTUM
2018-04-10,VLUE,VLUE
2018-04-10,USMV,USMV
2018-04-10,EFA,EFA
2018-04-11,SPY,SPY
2018-04-11,MTUM,MTUM
2018-04-11,VLUE,VLUE
2018-04-11,USMV,USMV
2018-04-11,EFA,EFA
2018-04-12,SPY,SPY
2018-04-12,MTUM,MTUM
2018-04-12,VLUE,VLUE
2018-04-12,USMV,USMV
2018-04-12,EFA,EFA
2018-04-13,SPY,SPY
2018-04-13,MTUM,MTUM
2018-04-13,VLUE,VLUE
2018-04-13,USMV,USMV
2018-04-13,EFA,EFA
2018-04-16,SPY,SPY
2018-04-16,MTUM,MTUM
2018-04-16,VLUE,VLUE
2018-04-16,USMV,USMV
2018-04-16,EFA,EFA
2018-04-17,SPY,SPY
2018-04-17,MTUM,MTUM
2018-04-17,VLUE,VLUE
2018-04-17,USMV,USMV
2018-04-17,EFA,EFA
2018-04-18,SPY,SPY
2018-04-18,MTUM,MTUM
2018-04-18,VLUE,VLUE
2018-04-18,USMV,USMV
2018-04-18,EFA,EFA
2018-04-19,SPY,SPY
2018-04-19,MTUM,MTUM
2018-04-19,VLUE,VLUE
2018-04-19,USMV,USMV
2018-04-19,EFA,EFA
2018-04-20,SPY,SPY
2018-04-20,MTUM,MTUM
2018-04-20,VLUE,VLUE
2018-04-20,USMV,USMV
2018-04-20,EFA,EFA
2018-04-23,SPY,SPY
2018-04-23,MTUM,MTUM
2018-04-23,VLUE,VLUE
2018-04-23,USMV,USMV
2018-04-23,EFA,EFA
2018-04-24,SPY,SPY
2018-04-24,MTUM,MTUM
2018-04-24,VLUE,VLUE
2018-04-24,USMV,USMV
2018-04-24,EFA,EFA
2018-04-25,SPY,SPY
2018-04-25,MTUM,MTUM
2018-04-25,VLUE,VLUE
2018-04-25,USMV,USMV
2018-04-25,EFA,EFA
2018-04-26,SPY,SPY
2018-04-26,MTUM,MTUM
2018-04-26,VLUE,VLUE
2018-04-26,USMV,USMV
2018-04-26,EFA,EFA
2018-04-27,SPY,SPY
2018-04-27,MTUM,MTUM
2018-04-27,VLUE,VLUE
2018-04-27,USMV,USMV
2018-04-27,EFA,EFA
2018-04-30,SPY,SPY
2018-04-30,MTUM,MTUM
2018-04-30,VLUE,VLUE
2018-04-30,USMV,USMV
2018-04-30,EFA,EFA
2018-05-01,SPY,SPY
2018-05-01,MTUM,MTUM
2018-05-01,VLUE,VLUE
2018-05-01,USMV,USMV
2018-05-01,EFA,EFA
2018-05-02,SPY,SPY
2018-05-02,MTUM,MTUM
2018-05-02,VLUE,VLUE
2018-05-02,USMV,USMV
2018-05-02,EFA,EFA
2018-05-03,SPY,SPY
2018-05-03,MTUM,MTUM
2018-05-03,VLUE,VLUE
2018-05-03,USMV,USMV
2018-05-03,EFA,EFA
2018-05-04,SPY,SPY
2018-05-04,MTUM,MTUM
2018-05-04,VLUE,VLUE
2018-05-04,USMV,USMV
2018-05-04,EFA,EFA
2018-05-07,SPY,SPY
2018-05-07,MTUM,MTUM
2018-05-07,VLUE,VLUE
2018-05-07,USMV,USMV
2018-05-07,EFA,EFA
2018-05-08,SPY,SPY
2018-05-08,MTUM,MTUM
2018-05-08,VLUE,VLUE
2018-05-08,USMV,USMV
2018-05-08,EFA,EFA
2018-05-09,SPY,SPY
2018-05-09,MTUM,MTUM
2018-05-09,VLUE,VLUE
2018-05-09,USMV,USMV
2018-05-09,EFA,EFA
2018-05-10,SPY,SPY
2018-05-10,MTUM,MTUM
2018-05-10,VLUE,VLUE
2018-05-10,USMV,USMV
2018-05-10,EFA,EFA
2018-05-11,SPY,SPY
2018-05-11,MTUM,MTUM
2018-05-11,VLUE,VLUE
2018-05-11,USMV,USMV
2018-05-11,EFA,EFA
2018-05-14,SPY,SPY
2018-05-14,MTUM,MTUM
2018-05-14,VLUE,VLUE
2018-05-14,USMV,USMV
2018-05-14,EFA,EFA
2018-05-15,SPY,SPY
2018-05-15,MTUM,MTUM
2018-05-15,VLUE,VLUE
2018-05-15,USMV,USMV
2018-05-15,EFA,EFA
2018-05-16,SPY,SPY
2018-05-16,MTUM,MTUM
2018-05-16,VLUE,VLUE
2018-05-16,USMV,USMV
2018-05-16,EFA,EFA
2018-05-17,SPY,SPY
2018-05-17,MTUM,MTUM
2018-05-17,VLUE,VLUE
2018-05-17,USMV,USMV
2018-05-17,EFA,EFA
2018-05-18,SPY,SPY
2018-05-18,MTUM,MTUM
2018-05-18,VLUE,VLUE
2018-05-18,USMV,USMV
2018-05-18,EFA,EFA
2018-05-21,SPY,SPY
2018-05-21,MTUM,MTUM
2018-05-21,VLUE,VLUE
2018-05-21,USMV,USMV
2018-05-21,EFA,EFA
2018-05-22,SPY,SPY
2018-05-22,MTUM,MTUM
2018-05-22,VLUE,VLUE
2018-05-22,USMV,USMV
2018-05-22,EFA,EFA
2018-05-23,SPY,SPY
2018-05-23,MTUM,MTUM
2018-05-23,VLUE,VLUE
2018-05-23,USMV,USMV
2018-05-23,EFA,EFA
2018-05-24,SPY,SPY
2018-05-24,MTUM,MTUM
2018-05-24,VLUE,VLUE
2018-05-24,USMV,USMV
2018-05-24,EFA,EFA
2018-05-25,SPY,SPY
2018-05-25,MTUM,MTUM
2018-05-25,VLUE,VLUE
2018-05-25,USMV,USMV
2018-05-25,EFA,EFA
2018-05-29,SPY,SPY
2018-05-29,MTUM,MTUM
2018-05-29,VLUE,VLUE
2018-05-29,USMV,USMV
2018-05-29,EFA,EFA
2018-05-30,SPY,SPY
2018-05-30,MTUM,MTUM
2018-05-30,VLUE,VLUE
2018-05-30,USMV,USMV
2018-05-30,EFA,EFA
2018-05-31,SPY,SPY
2018-05-31,MTUM,MTUM
2018-05-31,VLUE,VLUE
2018-05-31,USMV,USMV
2018-05-31,EFA,EFA
2018-06-01,SPY,SPY
2018-06-01,MTUM,MTUM
2018-06-01,VLUE,VLUE
2018-06-01,USMV,USMV
2018-06-01,EFA,EFA
2018-06-04,SPY,SPY
2018-06-04,MTUM,MTUM
2018-06-04,VLUE,VLUE
2018-06-04,USMV,USMV
2018-06-04,EFA,EFA
2018-06-05,SPY,SPY
2018-06-05,MTUM,MTUM
2018-06-05,VLUE,VLUE
2018-06-05,USMV,USMV
2018-06-05,EFA,EFA
2018-06-06,SPY,SPY
2018-06-06,MTUM,MTUM
2018-06-06,VLUE,VLUE
2018-06-06,USMV,USMV
2018-06-06,EFA,EFA
2018-06-07,SPY,SPY
2018-06-07,MTUM,MTUM
2018-06-07,VLUE,VLUE
2018-06-07,USMV,USMV
2018-06-07,EFA,EFA
2018-06-08,SPY,SPY
2018-06-08,MTUM,MTUM
2018-06-08,VLUE,VLUE
2018-06-08,USMV,USMV
2018-06-08,EFA,EFA
2018-06-11,SPY,SPY
2018-06-11,MTUM,MTUM
2018-06-11,VLUE,VLUE
2018-06-11,USMV,USMV
2018-06-11,EFA,EFA
2018-06-12,SPY,SPY
2018-06-12,MTUM,MTUM
2018-06-12,VLUE,VLUE
2018-06-12,USMV,USMV
2018-06-12,EFA,EFA
2018-06-13,SPY,SPY
2018-06-13,MTUM,MTUM
2018-06-13,VLUE,VLUE
2018-06-13,USMV,USMV
2018-06-13,EFA,EFA
2018-06-14,SPY,SPY
2018-06-14,MTUM,MTUM
2018-06-14,VLUE,VLUE
2018-06-14,USMV,USMV
2018-06-14,EFA,EFA
2018-06-15,SPY,SPY
2018-06-15,MTUM,MTUM
2018-06-15,VLUE,VLUE
2018-06-15,USMV,USMV
2018-06-15,EFA,EFA
2018-06-18,SPY,SPY
2018-06-18,MTUM,MTUM
2018-06-18,VLUE,VLUE
2018-06-18,USMV,USMV
2018-06-18,EFA,EFA
2018-06-19,SPY,SPY
2018-06-19,MTUM,MTUM
2018-06-19,VLUE,VLUE
2018-06-19,USMV,USMV
2018-06-19,EFA,EFA
2018-06-20,SPY,SPY
2018-06-20,MTUM,MTUM
2018-06-20,VLUE,VLUE
2018-06-20,USMV,USMV
2018-06-20,EFA,EFA
2018-06-21,SPY,SPY
2018-06-21,MTUM,MTUM
2018-06-21,VLUE,VLUE
2018-06-21,USMV,USMV
2018-06-21,EFA,EFA
2018-06-22,SPY,SPY
2018-06-22,MTUM,MTUM
2018-06-22,VLUE,VLUE
2018-06-22,USMV,USMV
2018-06-22,EFA,EFA
2018-06-25,SPY,SPY
2018-06-25,MTUM,MTUM
2018-06-25,VLUE,VLUE
2018-06-25,USMV,USMV
2018-06-25,EFA,EFA
2018-06-26,SPY,SPY
2018-06-26,MTUM,MTUM
2018-06-26,VLUE,VLUE
2018-06-26,USMV,USMV
2018-06-26,EFA,EFA
2018-06-27,SPY,SPY
2018-06-27,MTUM,MTUM
2018-06-27,VLUE,VLUE
2018-06-27,USMV,USMV
2018-06-27,EFA,EFA
2018-06-28,SPY,SPY
2018-06-28,MTUM,MTUM
2018-06-28,VLUE,VLUE
2018-06-28,USMV,USMV
2018-06-28,EFA,EFA
2018-06-29,SPY,SPY
2018-06-29,MTUM,MTUM
2018-06-29,VLUE,VLUE
2018-06-29,USMV,USMV
2018-06-29,EFA,EFA
2018-07-02,SPY,SPY
2018-07-02,MTUM,MTUM
2018-07-02,VLUE,VLUE
2018-07-02,USMV,USMV
2018-07-02,EFA,EFA
2018-07-03,SPY,SPY
2018-07-03,MTUM,MTUM
2018-07-03,VLUE,VLUE
2018-07-03,USMV,USMV
2018-07-03,EFA,EFA
2018-07-05,SPY,SPY
2018-07-05,MTUM,MTUM
2018-07-05,VLUE,VLUE
2018-07-05,USMV,USMV
2018-07-05,EFA,EFA
2018-07-06,SPY,SPY
2018-07-06,MTUM,MTUM
2018-07-06,VLUE,VLUE
2018-07-06,USMV,USMV
2018-07-06,EFA,EFA
