Date,MKT-Rf,SMB,HML,UMD,QMJ,VIX,VVIX,Consumer_Confidence_Index,Unemployment_Initial_Claims,AGG_ret_lag1,BIL_ret_lag1,DBC_ret_lag1,EFA_ret_lag1,GLD_ret_lag1,HYG_ret_lag1,MTUM_ret_lag1,SPY_ret_lag1,TIP_ret_lag1,TLT_ret_lag1,USMV_ret_lag1,VLUE_ret_lag1,VNQ_ret_lag1,AGG_ret_lag5,BIL_ret_lag5,DBC_ret_lag5,EFA_ret_lag5,GLD_ret_lag5,HYG_ret_lag5,MTUM_ret_lag5,SPY_ret_lag5,TIP_ret_lag5,TLT_ret_lag5,USMV_ret_lag5,VLUE_ret_lag5,VNQ_ret_lag5,AGG_ret_lag20,BIL_ret_lag20,DBC_ret_lag20,EFA_ret_lag20,GLD_ret_lag20,HYG_ret_lag20,MTUM_ret_lag20,SPY_ret_lag20,TIP_ret_lag20,TLT_ret_lag20,USMV_ret_lag20,VLUE_ret_lag20,VNQ_ret_lag20
2014-12-16,0.10923968814567496,-0.4472793047431432,1.486029320765697,-1.0709824835850077,-1.0291478221850048,3.7686530696975202,3.755583723140993,1.2238087588255036,-1.7357442972248327,-1.7556060388128403,-2.7972574798906464,-2.1643201648017114,-2.1636710020430727,-2.81810321805744,-0.1839992689820928,-0.8637898004803061,-1.0864898774838514,-1.4727128729689158,-0.46397522021707405,-1.0140650450556268,-2.7063957155746614,-2.103579737168829,0.7968060353802824,-1.386259097057861,1.1735403918526117,-0.7109690187750456,2.2158598168870625,-0.2321602274792698,-0.11226194126198523,-0.19015831806765401,1.5044201433540594,0.6694108283294572,-0.5631302792675184,-0.0870617202517604,0.5182107376966477,-0.8224457080047575,1.4197578870605527,-0.6053881696632063,-0.5199404201311393,-0.368940390146591,-0.10133287784191516,0.13186960343842852,0.006273006002145188,-1.28806720928404,-0.4893621513817399,0.39581321438692546,-0.3770473014507297,0.5274624464440923
2014-12-17,1.8303912429122933,1.0085315042933354,1.5734719442194023,-1.6168375248131948,-2.9597863998378378,2.0691258723386516,2.3100746076544536,1.2143565302151276,-1.7194448533588005,1.314200505716578,0.033099172186511955,-0.6621840963109572,0.9378813284235628,0.5397223778860969,-1.1799221319211137,-1.3215824465145425,-1.2487159075188778,2.199342948653506,1.7605288944063828,-1.0579146007027571,-1.0158870073387807,-0.3527139773784134,0.9023412624893672,0.02790303459556536,-2.1247718772213045,-1.6825591013484995,-0.20158920585845616,-4.18940945239654,-1.8038694554114592,-2.487811428853275,0.6863663620345148,1.0010174404915104,-2.3165958387281327,-2.733944237884373,-0.2851108211035246,0.4433542068054004,-1.3753518794642867,-0.765861625678533,1.4439457098177184,0.9989035956902291,-0.8162903820113531,1.2935597097705305,0.7669709459529214,0.28847607361469685,0.3284624417179511,0.7511410976802646,-0.0892746070571292,0.5058939957998592
2014-12-18,3.340178474443884,-3.1627238519382206,-0.42570481133173216,-0.3102710088653256,-0.15515451072815364,1.0433453057874111,1.7706110792470542,1.205017978041929,-1.7034838052000012,-0.8817864677483251,0.02768564608293018,0.9943799412852039,1.548566366434977,-0.6163588397399502,6.739116936689184,1.8386762099634202,2.752978854022241,-1.7370903664228448,-1.5429505092478761,2.984566273583288,-0.06248366107930706,3.200638128462241,-0.34258567605653867,0.022409099423291556,-1.1693210609223301,-0.1617975494698193,-0.23152457356474695,-1.2691069421751806,0.5416349449468535,0.6632066508781094,-0.5309813163555857,0.5079316653370596,0.9618265174714898,0.642715380830055,0.12394999951906972,-1.5319342276794854,0.022060382144778394,-0.7722489249757626,-0.3903660689897778,-1.2915447789285501,-0.14252515075684663,-0.5627870123225487,-0.329106048577517,-1.5707287069643041,-1.0822983444070153,-0.19257961039588317,0.9716432595451857,-1.4093824643707566
2014-12-19,1.112980132052224,-0.5905263735922047,0.9920726242006006,-1.3254054583344776,-2.482055909082633,0.9148643069482698,1.18157884533196,1.1957906681898653,-1.685911012094342,-1.6783731521976624,1.4223803978018512,-0.2866641993343119,2.278787200302424,0.8357853637098764,2.438151122176199,2.8259424783895253,3.419310240677801,-2.3012352875126307,-2.8920036304394534,3.12739501649667,5.641804650072221,0.8534469929278585,1.764025942001568,1.4426491797130392,-1.024646241373304,-2.560703230829567,-0.24390116021941483,-4.769898926394209,-1.366165417023534,-2.4941769485573264,0.3662290151227137,1.959973519544565,-2.4600669956120087,-1.3364236869574577,-1.4650400536816983,0.997347388062596,0.022060382144778394,1.550298095224119,-0.7859764141517396,1.1686721958067636,-0.015961863694580202,-0.16062108927454116,0.167971480048749,0.9027448806355904,0.7080643881801658,-0.05985522748124605,0.10003857130387062,0.3584782849827748
2014-12-22,0.6083717459901566,-0.8025151603662343,-1.0015445340254525,0.4096910402756411,1.7206804759314174,0.4384709607489634,1.2087861750133408,1.1866722597604973,-1.0233177727998277,0.8348745900988649,-1.3670105519810263,2.2499185293980326,0.19452018349248698,-0.34440254035448364,2.8896742232668413,-0.02603914956705443,0.5174568336301935,1.7016189239548198,1.8845273368393762,0.26646125585400426,1.4011313969003898,-0.22070509593694027,-1.7556060388128403,-2.7972574798906464,-2.1643201648017114,-2.1636710020430727,-2.81810321805744,-0.1839992689820928,-0.8637898004803061,-1.0864898774838514,-1.4727128729689158,-0.46397522021707405,-1.0140650450556268,-2.7063957155746614,-2.103579737168829,0.6029182160667516,0.022060382144778394,1.9184198773526544,1.1413089526138203,0.5306699180910327,2.0520670075097174,0.5422917155659799,0.6961434973105993,1.0571777636549915,0.830955405963601,0.3381704118801973,0.9075062284365446,0.769898215981548
2014-12-23,0.03077263402255047,-0.41955795231721094,2.3741809245395236,-1.5402136680588643,0.3723545360459645,0.26438933052667396,0.8487796588279212,1.1776605021626163,-1.0154239198955015,0.7738715181451706,0.03309931193575725,-2.4288526750512274,0.6280140778351562,-2.115202721726741,-0.7584487345522817,-0.05656421514364464,0.5628213681920148,0.29466490627666436,0.06298557303216049,0.9429313535277295,0.6378168539399994,2.285160732522559,1.314200505716578,0.033099172186511955,-0.6621840963109572,0.9378813284235628,0.5397223778860969,-1.1799221319211137,-1.3215824465145425,-1.2487159075188778,2.199342948653506,1.7605288944063828,-1.0579146007027571,-1.0158870073387807,-0.3527139773784134,0.10544490416999748,1.4200178284085954,-1.3924702554881623,0.7606409894184499,-0.2524788238706213,-0.10479056105318604,0.48970391003448127,0.3228261536039417,0.24648147965324624,0.015101677126111792,0.20439024211206538,0.3320297065501674,0.3849726460736611
2014-12-24,0.23513701948169127,0.5469436989818338,-0.6023423223251487,0.8236239656187022,-0.2619827405292618,0.09859887464212477,0.8814897842145775,1.1687532324129075,-1.0075952495723373,-2.846735718930014,0.02768576384233894,1.5679656578767416,-0.4066169186636894,0.1941383529886797,1.032961382893224,-0.6461532198061782,0.10509252924434857,-2.614879066344876,-3.1640616648500512,0.09015379904273495,0.9206690469936055,-0.5720737276711184,-0.8817864677483251,0.02768564608293018,0.9943799412852039,1.548566366434977,-0.6163588397399502,6.739116936689184,1.8386762099634202,2.752978854022241,-1.7370903664228448,-1.5429505092478761,2.984566273583288,-0.06248366107930706,3.200638128462241,1.2102177729929562,0.016619786780991817,-0.677074414513284,0.22383033302750036,0.27787213191004023,0.5667193445967118,0.10884966247813141,-0.1993031650569418,0.28152002325155834,1.1927518521583844,-0.06132662489220973,0.19103510700817714,0.12542866115718265
2014-12-26,0.13081203732249944,0.9538812999182241,-0.544234254737588,0.277868018241073,-0.963874415456244,0.14306540662440087,0.6554607837982016,1.1512439277894242,-0.9919488211341891,0.5084668958567501,1.4223864478205035,-1.669482176264837,0.5950867251247854,0.03921518271137601,0.9823395193073508,0.09031971675011877,-0.07000211978072957,-0.417401324702916,0.6855640321361809,-0.0014873663710971321,-0.3399161195069615,-0.7666197249857716,-1.6783731521976624,1.4223803978018512,-0.2866641993343119,2.278787200302424,0.8357853637098764,2.438151122176199,2.8259424783895253,3.419310240677801,-2.3012352875126307,-2.8920036304394534,3.12739501649667,5.641804650072221,0.8534469929278585,0.37802062496505023,-1.3753914825355582,-0.27966649305686864,0.5064058345097333,-0.1927921248207841,0.4402911116175454,0.7199411272904296,0.28750330781671635,0.15241660269269178,0.3130504724018896,0.6925425546538865,-0.7074416885755402,1.2592473417833148
2014-12-29,0.3627734958401707,0.03533135182262408,1.4426916621884673,-0.14856304294957948,-0.4219885610100918,0.35259573047930765,0.8321076342984729,1.142637983512555,-0.6459578353092215,0.13981113768346498,-1.3670738773199553,0.02502970533858408,0.3434675363000474,1.9613405349301691,-0.9568091551000445,0.4474310793035774,0.3736775288632734,0.08223458097406265,0.42240681736011143,0.22055585277226916,0.3329407339137526,0.3592340288539158,0.8348745900988649,-1.3670105519810263,2.2499185293980326,0.19452018349248698,-0.34440254035448364,2.8896742232668413,-0.02603914956705443,0.5174568336301935,1.7016189239548198,1.8845273368393762,0.26646125585400426,1.4011313969003898,-0.22070509593694027,1.745722856872399,1.4088780303086634,-7.859562281625257,-1.0681477329016793,-2.9625716918050378,-3.756517400334499,0.11928228015341558,-0.40814643462060823,-0.20261627890702216,1.1217445672969946,0.8601850161001057,-0.8002489064413978,0.21868514030598954
2014-12-30,-0.9712311228775607,1.8813443477613427,0.8963712334179862,-0.6315033545240306,-0.3739645080849552,0.6756209483952075,1.0361938959067707,1.1341287042545969,-0.6400342069188674,1.0851879738339398,0.027473668166969726,-1.1571172918729007,-0.9183149610077553,-1.0786137075148434,0.13631927258566345,-0.09750158422908552,0.10878014219162982,0.4903921319811703,0.9765485748769622,0.05128268235273355,0.18326987155854166,0.6387331152603024,0.7738715181451706,0.03309931193575725,-2.4288526750512274,0.6280140778351562,-2.115202721726741,-0.7584487345522817,-0.05656421514364464,0.5628213681920148,0.29466490627666436,0.06298557303216049,0.9429313535277295,0.6378168539399994,2.285160732522559,-1.4771864690574137,-1.3647655642295353,3.24053033865592,-0.12302553294081248,4.295251715433212,-3.831481650342838,-0.8706666288285081,-1.1256153178787334,-0.9160898963768868,-1.0345527497900144,-0.7756405136310952,-1.01629709517682,-0.49609518670045005
