Date,10Y_Yield_Constant_Maturity,20Y_Yield_Constant_Maturity,Building_Permits_Contribution,Consumer_Confidence_Expectations,Consumer_Confidence_Index,PMI_Manufacturing_Global,PMI_Services_Business_Activity_US,Unemployment_Initial_Claims,10 Year,10 Year Chg,QMJ,MKT-Rf,SMB,HML,UMD,VIX,VVIX
2014-01-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-12200.0,2.9609999656677246,0.0,-0.00038536927223079996,-0.0037544854888555998,-0.0015336047164203998,0.0019746993777565,-0.0020970813967889,-0.21000003999999883,-1.6999969499999992
2014-01-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-12200.0,2.9609999656677246,0.0,0.0007039672620871999,0.0067346017209518,-0.0008826222644058,-0.0024108936359033,0.0050597008799725,-0.630000110000001,0.0
2014-01-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-12200.0,2.9609999656677246,0.0,-0.0028318466325139,-0.0007922053512939,-0.0007347618573538002,-0.0003633685031878,0.0004174143025727998,-0.05000018999999867,0.0
2014-01-09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-12200.0,2.9609999656677246,0.0,0.0020881807310300002,-0.005052436921473,0.0018433079876188,-0.0008273446696682,0.0007023148548884004,0.020000449999999503,0.0
2014-01-10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-12200.0,2.9609999656677246,0.0,-0.0013308654859420003,0.0081885183850335,-0.00020891956604730008,-0.00047517213734850003,-0.006919650758628101,-0.75,-0.5900039699999979
2014-01-13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7500.0,2.8269999027252197,0.0,0.00019802219029330017,-0.0101697793614864,-0.0009091143614512,0.0041472917035904,-0.0056465287252686,1.1399993899999998,7.97000122
2014-01-14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7500.0,2.8269999027252197,0.0,0.0014683351875075,0.0071964928633814,0.0014677157993826001,-0.004012419810558,0.0097365574515693,-1.0,-6.4000015200000036
2014-01-15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7500.0,2.8269999027252197,0.0,-0.001398128264009,0.0019443150889617003,-0.0026261224172353004,0.0035242218411599,-0.0032025990881306,0.0,0.25
2014-01-16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7500.0,2.8269999027252197,0.0,0.0015743603016449,-0.0049054350639031324,0.0014754113742657,-0.0027669372212323,-0.0017114062610439997,0.25,4.420005799999998
2014-01-17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7500.0,2.8269999027252197,0.0,0.0004105026569097,-0.0006626892902955679,4.7275519418399836e-05,0.0020635214033123,0.0022344243066910996,-0.09000014999999983,1.7399978600000026
2014-01-20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18400.0,2.8269999027252197,0.0,0.0019811763428464,0.00028397404795969995,-0.00026405200068419996,-0.0016179820585270998,-0.0020762931463341,-0.09000014999999983,1.7399978600000026
2014-01-21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18400.0,2.8269999027252197,0.0,-0.0021855794608861,0.0021473171130747,0.0014022754743348,-0.0009754816448323999,0.001766223134784712,0.4300003100000005,2.0599975599999993
2014-01-22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18400.0,2.8269999027252197,0.0,-0.00031128654550669995,-0.0002996331030781,-0.0012320547995971001,0.0032619757185451,0.0031306403467661883,-0.02999974000000094,-3.319999699999997
2014-01-23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18400.0,2.8269999027252197,0.0,0.0017796642876709,-0.0077649912858904,0.0007232558039440003,-0.0022890767499066,-0.0060305135329428005,0.9300003100000005,3.790000919999997
2014-01-24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18400.0,2.8269999027252197,0.0,0.0035945261042516,-0.012485346470332202,-0.00042361195055580026,-0.00054871061116,-0.004178566125334,4.3699989299999995,19.459999080000003
2014-01-27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-14033.333299999998,2.7660000324249268,0.0,0.0001386457641999999,0.008558183783967102,-0.0054245511577574995,0.0014359918145977,0.0037618070969937,-0.7199993099999986,-4.209999080000003
2014-01-28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-14033.333299999998,2.7660000324249268,0.0,-0.010149912702287,0.014896985324934699,0.006714421719731399,0.0009550107509395998,0.0115526088758168,-1.6199998900000008,-9.540000919999997
2014-01-29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-14033.333299999998,2.7660000324249268,0.0,0.005912861548555366,-0.007781783967947899,-0.00292034905792273,-0.0010496856368782,-0.009706273129919101,1.5500001900000004,8.510002139999997
2014-01-30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-14033.333299999998,2.7660000324249268,0.0,-0.0011724102032134667,0.0047686612888043,0.0009659948226050301,-0.0012260065637524,0.0089482974013929,-0.059999460000000227,-0.1200027499999976
2014-01-31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-14033.333299999998,2.7660000324249268,0.0,0.0036371860900954,-0.0063967507438287,-0.0008821333502760076,-0.00035928003521919997,-0.0076250691567046,1.1199989299999977,7.310005189999998
2014-02-01,-0.1499999999999999,-0.14000000000000012,0.332741326,-5.200000000000003,-1.2966666700000076,3.259999999999998,-1.0,-14033.333299999998,2.7660000324249268,0.0,0.0036371860900954,-0.0063967507438287,-0.0008821333502760076,-0.00035928003521919997,-0.0076250691567046,1.1199989299999977,7.310005189999998
2014-02-03,-0.1499999999999999,-0.14000000000000012,0.332741326,-5.200000000000003,-1.2966666700000076,3.259999999999998,-1.0,5633.333299999998,2.5810000896453857,0.0,0.0019047050654745997,-0.0110930907715048,-0.0025118380921576922,0.0009780471441848,-0.0071788948495302,3.0300006800000006,7.11999514
2014-02-04,-0.1499999999999999,-0.14000000000000012,0.332741326,-5.200000000000003,-1.2966666700000076,3.259999999999998,-1.0,5633.333299999998,2.5810000896453857,0.0,-0.005270420294401199,0.012502098377696998,0.0027397779477054,-8.653683890299998e-05,0.0079377829602452,-2.329999919999999,-6.379997299999999
2014-02-05,-0.1499999999999999,-0.14000000000000012,0.332741326,-5.200000000000003,-1.2966666700000076,3.259999999999998,-1.0,5633.333299999998,2.5810000896453857,0.0,0.0011464368736661,0.0047981629766658,-0.003462637116039,0.0020983697594382,-0.0009051096201182,0.8400001500000016,2.4700011999999987
2014-02-06,-0.1499999999999999,-0.14000000000000012,0.332741326,-5.200000000000003,-1.2966666700000076,3.259999999999998,-1.0,5633.333299999998,2.5810000896453857,0.0,-0.001672719303649,0.0110000684338747,-0.0010566803281699998,-0.0002408496262551001,0.0031703257793317,-2.7200012200000003,-10.29000087
2014-02-07,-0.1499999999999999,-0.14000000000000012,0.332741326,-5.200000000000003,-1.2966666700000076,3.259999999999998,-1.0,5633.333299999998,2.5810000896453857,0.0,-0.0013986165813054,-0.0007866768762053999,0.0012649922330066,-0.002565784856154,-0.0014352562179851002,-1.939999580000002,-9.410003660000001
2014-02-10,-0.1499999999999999,-0.14000000000000012,0.332741326,-5.200000000000003,-1.2966666700000076,3.259999999999998,-1.0,-4500.0,2.677999973297119,0.0,0.0026393136965475,-0.008282124321026499,0.0046440184021783,-0.0023948818120732,-0.0020517243305768,-0.029999730000000113,-3.2799987799999997
