Date,VIX,VVIX,PMI_Manufacturing_Global,PMI_Services_Business_Activity_US,GLD_ret_lag1,GLD_ret_lag5,GLD_ret_lag20
2014-12-16,3.7686530696975202,3.755583723140993,-1.740080919982779,-1.7084059532912077,-2.81810321805744,2.2158598168870625,-0.368940390146591
2014-12-17,2.0691258723386516,2.3100746076544536,-1.7410419033795121,-1.6987897742629772,0.5397223778860969,-0.20158920585845616,0.9989035956902291
2014-12-18,1.0433453057874111,1.7706110792470542,-1.7420040893266495,-1.6892887473425042,-0.6163588397399502,-0.23152457356474695,-1.2915447789285501
2014-12-19,0.9148643069482698,1.18157884533196,-1.7429674804973017,-1.6799004032187415,0.8357853637098764,-0.24390116021941483,1.1686721958067636
2014-12-22,0.4384709607489634,1.2087861750133408,-1.7439320795729214,-1.6706223462651733,-0.34440254035448364,-2.81810321805744,0.5306699180910327
2014-12-23,0.26438933052667396,0.8487796588279212,-1.744897889243381,-1.6614522517284056,-2.115202721726741,0.5397223778860969,-0.2524788238706213
2014-12-24,0.09859887464212477,0.8814897842145775,-1.745864912206963,-1.6523878630469162,0.1941383529886797,-0.6163588397399502,0.27787213191004023
2014-12-26,0.14306540662440087,0.6554607837982016,-1.7478026088490506,-1.6345675027304536,0.03921518271137601,0.8357853637098764,-0.1927921248207841
2014-12-29,0.35259573047930765,0.8321076342984729,-1.7487732879666082,-1.6258073364843142,1.9613405349301691,-0.34440254035448364,-2.9625716918050378
2014-12-30,0.6756209483952075,1.0361938959067707,-1.7497451912554662,-1.6171444823125787,-1.0786137075148434,-2.115202721726741,4.295251715433212
2014-12-31,1.9172185807111473,2.1048627879422113,-1.7507183214565856,-1.608576988478643,1.4393119640360406,0.1941383529886797,-1.2982334378332636
2015-01-02,1.343835866182474,2.0139230553952774,-1.7526682736027261,-0.41176860476250254,-1.511811387871447,0.03921518271137601,1.1079188468274024
2015-01-05,2.1295313529087623,2.632081747046113,-1.753645101073003,-0.41421240577980756,0.47677019863948067,1.9613405349301691,-0.40747942048696767
2015-01-06,2.546687418063441,2.352974411348343,-1.7546231665061545,-0.41666461570813385,1.6155435712186175,-1.0786137075148434,-1.336559684309949
2015-01-07,1.840752161602841,1.5922219457474824,-1.755602472686682,-0.41912531444007445,1.22241291936352,1.4393119640360406,1.2738430675688623
2015-01-08,0.9934634540220983,0.9628220328764231,-1.7565830224079249,-0.42159458283024637,-0.6203952736627231,-1.511811387871447,2.2158598168870625
2015-01-09,1.192153736835324,1.3181857961974686,-1.757564818472059,-0.4240725027109143,-0.44026309320629176,0.47677019863948067,-0.20158920585845616
2015-01-12,1.9349449682714757,1.6608603293441688,-1.7585478636901468,-0.42655915690790086,1.2131738966005101,1.6155435712186175,-0.23152457356474695
2015-01-13,2.2706709460520744,1.6604231727493173,-1.7595321608821992,-0.4290546292568152,1.1749480981163893,1.22241291936352,-0.24390116021941483
2015-01-14,2.579618215228835,1.9313711871124246,-1.7605177128771425,-0.43155900461961777,-0.35367192411936477,-0.6203952736627231,-2.81810321805744
2015-01-15,2.8774723463844354,2.152643636445459,-1.7615045225129569,-0.4340723689015037,-0.1612891651629573,-0.44026309320629176,0.5397223778860969
2015-01-16,2.3293245801426052,1.7566808748365255,-1.742789276798539,-0.4377749579479589,2.6600195055456815,1.2131738966005101,-0.6163588397399502
2015-01-20,1.94668386096095,1.5525774783907345,-1.7065337366706788,-0.4452452301635889,1.3616487908257653,1.1749480981163893,0.8357853637098764
2015-01-21,1.5814545948586243,0.9133892334220792,-1.6889633783724318,-0.44901355458391146,1.4187783044867754,-0.35367192411936477,-0.34440254035448364
2015-01-22,0.7157448975837406,0.5626915819452363,-1.6717458994982444,-0.45280444256189134,0.014199756680608262,-0.1612891651629573,-2.115202721726741
2015-01-23,0.8046928470675956,0.7593032648807602,-1.654868160318454,-0.45661823074305113,0.8255087593892563,2.6600195055456815,0.1941383529886797
2015-01-26,0.4030120712748449,0.47021007119224895,-1.6383176890768136,-0.4604552624848778,-0.8607582326851368,1.3616487908257653,0.03921518271137601
2015-01-27,0.9960851392656581,0.7366057781808035,-1.6220826386634897,-0.4643158880341849,-1.0687811596080359,1.4187783044867754,1.9613405349301691
2015-01-28,2.114126955523409,1.5445464646305296,-1.606151746674992,-0.46820046471024823,1.2003468233045043,0.014199756680608262,-1.0786137075148434
2015-01-29,1.5056763145311178,1.0163251774918152,-1.590514298552423,-0.4721093570939516,-0.8460930669427105,0.8255087593892563,1.4393119640360406
2015-01-30,2.2535582658691826,1.541675136698456,-1.5751600935210657,-0.47604293722311875,-2.3036963231283103,-0.8607582326851368,-1.511811387871447
2015-02-02,1.670401881030306,1.3694035253258832,-0.8878238346691016,1.2327431501729411,2.3104597267277445,-1.0687811596080359,0.47677019863948067
2015-02-03,0.9504578815286351,0.996447240850481,-0.880886494290329,1.2229577006597157,-0.8892945065455653,1.2003468233045043,1.6155435712186175
2015-02-04,1.280940986306165,1.1612610513745676,-0.8739923211222506,1.2132879324662451,-1.1839269267603068,-0.8460930669427105,1.22241291936352
2015-02-05,0.7769487392603897,0.82460952403841,-0.8671403272919292,1.2037311219053088,0.45718714788320913,-2.3036963231283103,-0.6203952736627231
2015-02-06,0.9195536496960041,1.016554937888474,-0.8603295432279469,1.1942846399631624,0.17817253009239067,2.3104597267277445,-0.44026309320629176
2015-02-09,1.333675514277089,1.1666606446493508,-0.8535590169738682,1.1849459486828122,-2.737931206232236,-0.8892945065455653,1.2131738966005101
2015-02-10,0.8846990735641297,0.7256794693701344,-0.846827813522509,1.1757125977562017,0.46750693072684485,-1.1839269267603068,1.1749480981163893
2015-02-11,0.7895684418593727,0.808714042732054,-0.8401350141701046,1.166582221314642,-0.5965439085683751,0.45718714788320913,-0.35367192411936477
2015-02-12,0.2476944431890983,0.45835948171168384,-0.8334797158891984,1.1575525349076485,-1.2093209490059216,0.17817253009239067,-0.1612891651629573
2015-02-13,0.030440675449487933,0.4238782429409002,-0.830087786494361,1.152375694537922,0.2619739513523972,-2.737931206232236,2.6600195055456815
2015-02-17,0.399553887912476,0.4343591159829108,-0.8233469590120345,1.1421296663875993,0.5841944009926219,0.46750693072684485,1.3616487908257653
2015-02-18,0.28089856028323096,0.20691556347550888,-0.8199977679807134,1.1370594844882678,-1.710602813845647,-0.5965439085683751,1.4187783044867754
2015-02-19,0.2261834809120752,0.09265882092289845,-0.8166625332973262,1.1320238769983313,0.329679592180484,-1.2093209490059216,0.014199756680608262
2015-02-20,-0.10360719985192775,-0.022843784439655873,-0.8133411131963578,1.127022370069358,-0.3172336702044203,0.2619739513523972,0.8255087593892563
2015-02-23,-0.017537729335125422,-0.0017036592908641923,-0.8100333677364564,1.1220544987316354,-0.5532010832307194,0.5841944009926219,-0.8607582326851368
2015-02-24,-0.3056716049743572,-0.22068294105997263,-0.8067391587689922,1.1171198066791734,0.17579066153640913,-1.710602813845647,-1.0687811596080359
2015-02-25,-0.2548663857434968,0.02589830587923578,-0.8034583499073484,1.112217846061039,-0.11111543469798767,0.329679592180484,1.2003468233045043
2015-02-26,-0.22863286014779732,0.049927688827308234,-0.8001908064967677,1.107348177278807,0.44051187695010785,-0.3172336702044203,-0.8460930669427105
2015-02-27,-0.4134236796014025,-0.05445960079990779,-0.7969363955848648,1.1025103687899074,0.3756577916636381,-0.5532010832307194,-2.3036963231283103
2015-03-02,-0.508327609923194,-0.2680196036506425,-0.21163274814819774,1.1740828507311554,0.12084698579588367,0.17579066153640913,2.3104597267277445
2015-03-03,-0.23305910850597594,-0.06611596472481879,-0.21163274814819774,1.1684275625292764,-0.38834247344310757,-0.11111543469798767,-0.8892945065455653
2015-03-04,-0.10930976354384807,-0.1279938576023799,-0.21163274814819774,1.1628148918411172,-0.14782857218794945,0.44051187695010785,-1.1839269267603068
2015-03-05,-0.17138593948864164,-0.30834758243786814,-0.21163274814819774,1.1572441969733382,-0.27644383545798396,0.3756577916636381,0.45718714788320913
2015-03-06,0.2151722409306291,0.044770720598129865,-0.21163274814819774,1.151714849444161,-0.05389780985818492,0.12084698579588367,0.17817253009239067
2015-03-09,0.16712608833833964,-0.04213517493273822,-0.21163274814819774,1.1462262336321494,-2.8565982576661524,-0.38834247344310757,-2.737931206232236
2015-03-10,0.7081595756595181,0.355860765980553,-0.21163274814819774,1.1407777464363222,0.1639639085460138,-0.14782857218794945,0.46750693072684485
2015-03-11,0.76443792347638,0.69248540429878,-0.21163274814819774,1.1353687969472,-0.45169526112111785,-0.27644383545798396,-0.5965439085683751
2015-03-12,0.2799114575943741,0.19393136522662002,-0.21163274814819774,1.129998806128354,-0.5640478819904695,-0.05389780985818492,-1.2093209490059216
2015-03-13,0.4700286410097447,0.4203145334604011,-0.21163274814819774,1.1246672065080656,0.03737230875923757,-2.8565982576661524,0.2619739513523972
2015-03-16,0.33702382708170114,0.2511976228188599,-0.21193671536986766,1.1189047447499738,0.22220222207082144,0.1639639085460138,0.5841944009926219
2015-03-17,0.3503722976012845,0.10030546250129949,-0.21224074519679428,1.1131858073822891,0.006943299988534446,-0.45169526112111785,-1.710602813845647
