Date,AGG_target,BIL_target,DBC_target,EFA_target,GLD_target,HYG_target,MTUM_target,SPY_target,TIP_target,TLT_target,USMV_target,VLUE_target,VNQ_target
2014-12-16,-0.0012671140173655094,0.0,0.0058062054017201355,0.011882387187728286,-0.005933184879209442,0.020165684901420962,0.016900123959223006,0.01941523452371793,-0.004699990049388545,-0.009052922904661798,0.017383303668566698,0.0,0.02271006838490572
2014-12-17,-0.002630760860021146,0.0002184312669585231,-0.0031628621746620225,0.01768539992419343,0.007671599736508545,0.007975993238959641,0.02591078607078246,0.02442800331876259,-0.006330756889888154,-0.01795402648002188,0.018558135644545577,0.037147390228508145,0.006969735736697198
2014-12-18,0.0016332042217366146,-0.00021843126695858853,0.014675445890667339,0.0014595688936810478,-0.0033055430745708814,0.00957778256906198,0.0004331867044947259,0.0042458509722563325,0.004907506638910197,0.01335672253554575,0.0022038995213707726,0.010170804080975288,-0.00048788593684221955
2014-12-19,0.0015408540958985638,0.0,-0.01837817848189992,0.004850558579441966,-0.019532501975925286,-0.0024417311916532384,0.00014454117489681804,0.00458945092895647,0.000978635626024213,0.001349564282760618,0.006096805975294204,0.004971816534974594,0.016580490697530856
2014-12-22,-0.004628241138641196,0.0,0.010018484775716593,-0.0032311450750430702,0.0016866692377105724,0.0035483986260178113,-0.005212610235343349,0.0013487126561163344,-0.007228524408840536,-0.020034199125431734,0.0012148681922812818,0.006889799938807515,-0.002798751754448086
2014-12-23,0.0010848103561566294,0.0002184312669585231,-0.013203287361124945,0.004520488457501123,0.00026605277109295546,0.003396516611162432,0.001412011739533451,9.618563466640945e-05,-0.001075294039544202,0.005428090576978903,0.0006837865480848697,-0.0017871953455268004,-0.004153048823259188
2014-12-24,0.0004565160766187444,-0.00021843126695858853,-0.0010635490974291134,0.002574037760427621,0.018102473257655193,-0.0031074184594501978,0.004644326889050073,0.003219811798168492,0.00035835135527060663,0.003704376043961612,0.001949527846402545,0.002851369092274844,0.0035434405425965945
2014-12-26,0.002093633424327495,0.0,-0.009625885954623836,-0.007256250634350892,-0.010153292143778454,0.0005558917102498768,-0.0002895457623720551,0.0013421783326658348,0.0015226774025059544,0.007447616356207522,0.0009733405260355634,0.0017966145567397712,0.005472724436897973
2014-12-29,0.001089972025003263,0.0,-0.0010753371820167263,-0.009267789128372951,0.013370224180731385,-0.0020011945419978,-0.007852488026006538,-0.005380784429897866,-0.00026847636612326557,0.0027086277662542366,-0.004143905288386182,-0.00434761675093451,-0.0007282192367480617
2014-12-30,0.00027319405396269877,0.0002184312669585231,-0.007559440028460443,-0.006226422889136237,-0.014162271200273793,-0.002674699976606356,-0.006444009997791615,-0.009972479625820301,0.002681970572963882,0.0019081762075393487,-0.01129966686905616,-0.008297301578453035,-0.01701480088644101
2014-12-31,0.0028110872508302753,-0.00021843126695858853,-0.011995889938066275,-0.0042825079234078064,0.0043925221460414865,0.0,-0.0016173215963685898,-0.0005348336817385258,0.0064076217986717985,0.011056382992509516,0.0007411025097420063,-0.009437029398353279,0.014949349965791954
2015-01-02,0.002170867642692089,0.0002184312669585231,-0.014364897655679505,-0.023888120141848594,0.014964618775983719,-0.009307621795579122,-0.013035152553108088,-0.018225172028239568,0.0007973998171397826,0.015586440888282743,-0.009424824533600938,0.0,0.005458261090727716
2015-01-05,0.00252660158297981,-0.00021843126695858853,-0.00950517693460495,-0.011391944588387852,0.011334482171420189,-0.0038368394707397366,-0.00853516451006822,-0.009463373129554824,8.906139631715513e-05,0.017856948868208353,-0.0027447415005270393,-0.021017657101307992,0.009869915872775805
2015-01-06,-0.00018060816259896128,0.0,-0.006198789252244857,0.01105363035173152,-0.005908836993974954,0.0062004899733727956,0.016405993796938016,0.012384205343684646,0.0007973115093837906,-0.001976861918534798,0.012663025313390325,0.007933535416618497,0.015215139975791696
2015-01-07,-0.001533368816755224,0.0,0.003949172113738036,0.01343880857784091,-0.0042173997009502945,0.007501057433711999,0.020208689978912855,0.017589189804013798,-0.0015954360740253592,-0.013331908802478164,0.014695494154675266,0.020094267544370024,0.0037674814686585764
2015-01-08,0.0024350013848596177,0.0,-0.0016908479815466494,-0.004850937479328897,0.011320872784881022,0.0050070821249813754,-0.005232464086615497,-0.008045694555128631,0.003011506912345516,0.010893125021134044,-0.0058524666000994265,-0.009459765251088156,0.0004702253114663576
2015-01-09,0.0008101710758638451,0.0,-0.02224188229750354,-0.002349908729342203,0.011025431201653892,-0.0012214064321651257,-0.005846204506880702,-0.007864350210489942,-0.0002655589851469069,0.005706151961871124,-0.004411682149152123,-0.010479462030210567,0.007606117046698994
2015-01-12,0.00027012143555297353,0.0,-0.004045020376580053,0.0050290300052799695,-0.0033794717396937453,0.0,-0.0033771517615806606,-0.0028168502743985183,-0.0015931585023325771,0.0,-0.000982567961712472,-0.0027924111085828518,-0.0015164413606512108
2015-01-13,0.0024258379345740355,0.0,0.01094153541911297,-0.0028465324984952535,-0.0016093040146014643,-0.0023367986852160572,-0.003388849879590342,-0.006055406345822056,0.0059183916130697446,0.00755785387925486,-0.0034487774437112844,-0.007954647718860956,0.00860265506789339
2015-01-14,0.004567178094795553,0.0,-0.01384104923407974,0.0063522816827114885,0.02486420983066415,-0.006143968386210387,-0.006663022007040296,-0.009202717085535928,0.007895340537366414,0.015612710295359666,-0.001481223154463529,-0.008965810913340708,0.0023122866137156198
2015-01-15,-0.0038491042410463664,0.0,0.018982339114503602,0.012914129088228558,0.01297967953352017,0.0038025770098631703,0.012108554766733367,0.013028694875399151,-0.005608095204851229,-0.012831707018779556,0.01081346431613175,0.013340975566948873,0.008624488680487711
2015-01-16,0.0017026108518385197,0.0,-0.01376945398865882,0.003448586477105407,0.013618890362551296,-0.001787348518458892,0.0054161023564597835,0.0021305344614017353,0.0023697693927469095,0.013202000704691663,0.001709406660318877,-0.003279306797191298,-0.0079316452742426
2015-01-20,-0.0017927797317453394,0.0002184312669585231,0.006334627244028807,0.007838073358621384,0.00024156831944978564,0.005353660292587559,0.003933920367885485,0.005035386596996921,-0.004128434099364513,-0.011626612225394904,0.0017062643838476894,0.007480059608864765,-0.0006928434062452342
2015-01-21,-0.0005382186333355258,-0.00021843126695858853,-0.001148838147027094,0.00373406022992376,0.008017360134577187,0.001333930384251923,0.01701322072775218,0.014761626384612427,0.00026418557580217277,-0.003604294678555405,0.01451124518865683,0.007270600595613084,0.01762898984751971
2015-01-22,0.0025098397450422274,0.0002184312669585231,-0.006341805791736993,-0.005687764237762989,-0.008017360134577146,0.0,-0.0020035488615970103,-0.005497985401543101,0.006053247699596942,0.01382221587314779,-0.005296226336306973,0.0032314433613855357,-0.002840927215525268
2015-01-23,-0.00044747730377681316,0.0,-0.0034763433732091465,0.013596771862355988,-0.010031679362329654,0.004545161618376962,0.0010023378543544132,0.0023386513925772318,-0.0016633105102633564,-0.00304703124821477,0.002169882732628795,-0.0015376144075882944,0.008385271097340528
