Date,10Y_Yield_Constant_Maturity,20Y_Yield_Constant_Maturity,Building_Permits_Contribution,Consumer_Confidence_Expectations,Unemployment_Initial_Claims,Term_Spread
2014-12-16,-1.9330494049242914,-2.1249686480348187,-0.020567027400611226,0.4362456795138234,-1.7357442972248327,-2.401467075559388
2014-12-17,-1.9156891412155117,-2.1027027164413834,-0.025244971383720748,0.4312221717692588,-1.7194448533588005,-2.368880563345167
2014-12-18,-1.8987816408906517,-2.0810768014701084,-0.029950094982233905,0.42619717229347953,-1.7034838052000012,-2.3374126852454973
2014-12-19,-1.8823129081259629,-2.060065009535606,-0.034683056175683576,0.4211702052378027,-1.685911012094342,-2.3070010754969834
2014-12-22,-1.8662698738889794,-2.0396431858884063,-0.039444530491850226,0.41614078942963867,-1.0233177727998277,-2.2775882866431623
2014-12-23,-1.8506403454039018,-2.019788786772018,-0.04423521167690298,0.41110843805903813,-1.0154239198955015,-2.249121308420461
2014-12-24,-1.8354129606771203,-2.000480764206337,-0.04905581239649101,0.4060726583549868,-1.0075952495723373,-2.2215511434058555
2014-12-26,-1.8061230879345163,-1.9634265222953746,-0.05878972213638066,0.395988811037975,-0.9919488211341891,-2.168923118136343
2014-12-29,-1.792041683955145,-1.945644800239213,-0.06370455786379624,0.39093972500793384,-0.6459578353092215,-2.1437841563998647
2014-12-30,-1.7783245307210493,-1.928338288215454,-0.0686523681880244,0.3858851730806895,-0.6400342069188674,-2.1193792454469156
2014-12-31,-1.7649638905439273,-1.9114920465434921,-0.07363397209898989,0.3808246274199473,-0.6341237558952313,-2.0956745940706094
2015-01-02,-3.5072021677372596,-3.1568956026244197,-0.44235250155520006,2.0388374954578268,-0.6225703734287685,-2.26678245358199
2015-01-05,-3.426888061553996,-3.0961555908351612,-0.4470256461028996,2.0148052512166745,-0.04334258669140796,-2.23919715664772
2015-01-06,-3.3516048321467315,-3.038607936262403,-0.4517354840660073,1.9914142368547636,-0.034568684808923944,-2.212473492740709
2015-01-07,-3.2808515422124254,-2.9839861715298084,-0.45648271213169933,1.968635099552005,-0.02561642852647478,-2.1865691024614855
2015-01-08,-3.2141951494823346,-2.932054519651056,-0.4612680449599299,1.9464403665999663,-0.016474829073547217,-2.161444677138867
2015-01-09,-3.1512591391587534,-2.882603516104874,-0.4660922157962088,1.924804294416705,-0.010431172596276414,-2.137063691861866
2015-01-12,-3.0917144017628853,-2.835446372633702,-0.470955977110155,1.9037027322101736,-0.2518606855556741,-2.11339216717577
2015-01-13,-3.0352718504137144,-2.790415938767626,-0.47586010126112344,1.8831129986433472,-0.24587672702871596,-2.090398455919849
2015-01-14,-2.98167639873616,-2.747362148410555,-0.4808053811922747,1.863013770064463,-0.23985419450074608,-2.068053052178366
2015-01-15,-2.9307020127187844,-2.70614986265072,-0.4857926311545391,1.843384979046292,-0.23379143548810577,-2.04632841973396
2015-01-16,-2.8730521180560107,-2.6608570019306894,-0.47989552694805176,1.8327289119009236,-0.22768672956790975,-2.026168875136511
2015-01-20,-2.766117315357586,-2.575898014532476,-0.46807147121270476,1.8126998432421058,-2.4874307081848346,-1.9874940952229534
2015-01-21,-2.7163865661101103,-2.5359759481347015,-0.46214240591387645,1.803329047522231,-2.4590599468485212,-1.968939466674297
2015-01-22,-2.668890117024507,-2.4976082392765924,-0.45620052434977343,1.794390716633065,-2.4317324462648138,-1.9508825586586616
2015-01-23,-2.6234607498145643,-2.4606948515451945,-0.4502446935455628,1.785888784245858,-2.4053996459876346,-1.9333067620529982
2015-01-26,-2.579948344831182,-2.425144659909478,-0.4442737464394316,1.7778284243190081,-1.29928309057996,-1.9161965638235892
2015-01-27,-2.5382176959019005,-2.390874458656044,-0.43828647963995054,1.7702161287560023,-1.2907909549442562,-1.8995374813528743
2015-01-28,-2.4981466573424536,-2.357808101383038,-0.4322816510281808,1.7630597984478162,-1.2824513857007114,-1.8833160032058458
2015-01-29,-2.459624565055323,-2.325875752775726,-0.4262579771905768,1.756368849494601,-1.2742635942448794,-1.8675195357818808
2015-01-30,-2.422550885045554,-2.295013235398267,-0.42021413066729507,1.7501543367516388,-1.2662269973684348,-1.8521363553686851
2015-02-02,-1.9426549002424454,-1.8193657468105564,1.31905223908952,0.05948692397285178,-0.32927100064810255,-1.410577913243696
2015-02-03,-1.921036356513497,-1.8015856942622113,1.32291536512038,0.04975025101533103,-0.32206015327440163,-1.4016562586394634
2015-02-04,-1.8999504325474834,-1.7842023827784437,1.3268008087415488,0.039761743237002004,-0.31476051798874183,-1.392929603394841
2015-02-05,-1.8793745184517867,-1.7672016451096424,1.3307088079176508,0.029502114716488635,-0.3073658349690377,-1.3843973032909698
2015-02-06,-1.8592873554718516,-1.7505700918129963,1.3346396041965904,0.01894994442397382,-0.3021431898313232,-1.3760590194679156
2015-02-09,-1.8396689350514637,-1.7342950616094914,1.3385934427794846,0.008081353270316472,-1.1381771396002303,-1.3679147279674142
2015-02-10,-1.8205004070435018,-1.7183645758361508,1.3425705725922719,-0.0031303812895383874,-1.1293389438180559,-1.3599647310567187
2015-02-11,-1.8017639961107164,-1.7027672966202396,1.3465712463590493,-0.014715287987648366,-1.1205921547562434,-1.3522096704912796
2015-02-12,-1.7834429254709694,-1.6874924884425666,1.3505957206771815,-0.026707260967973864,-1.1119347688557324,-1.3446505428997182
2015-02-13,-1.7657041304499543,-1.672058372520783,1.340820601101361,-0.030956832586956844,-1.1033648472510407,-1.3348808102796017
